t,$0$,$0.5\beta^\star$,$0.8\beta^\star$,$0.9\beta^\star$,$\beta^\star$,$\frac{\beta^\star + \beta_{c}}{2}$,$\beta_{c}$,$\beta_t$
0,0.9999310947718844,0.9999310947718844,0.9999310947718844,0.9999310947718844,0.9999310947718844,0.9999310947718844,0.9999310947718844,0.9999310947718844
1,0.9997256334896165,0.9997256334896165,0.9997256334896165,0.9997256334896165,0.9997256334896165,0.9997256334896165,0.9997256334896165,0.9997256334896165
2,0.9989222869373893,0.9725081087813927,0.9987695561072699,0.9994165957067337,0.9996905815098809,0.9997086709807791,0.9997255372927422,0.9966073950706119
3,0.9959936506217631,0.9932886659760454,0.9995934845516998,0.9998140170923638,0.9999177806655625,0.9999246718689287,0.9999310704512825,0.9758536071282344
4,0.9879801501209331,0.9859688677703271,0.9982234177607621,0.999148321548182,0.9996552527722301,0.9996913504297308,0.9997251235665382,0.9711413560064066
5,0.9778415121991676,0.9722462765736826,0.9724069865315454,0.9945640044547914,0.9995143808780503,0.9996321892914892,0.9997247991333128,0.9704802429042702
6,0.9724222209892808,0.9688924614025035,0.9923464367407299,0.9986608506656809,0.9998674617230974,0.9999029502254596,0.9999309614548041,0.9696228435258402
7,0.9703092745438289,0.9681043676597848,0.9834142911848662,0.9951933970184381,0.9994337048834242,0.9995946325078675,0.9997240836760523,0.968829068499256
8,0.9693020055710262,0.9671937776285598,0.9631370398751766,0.9674890633337874,0.9990398535470323,0.9994643064238867,0.9997236528728012,0.9678076988047953
9,0.9685940484954235,0.966275303195123,0.9653702003079553,0.9897206899195261,0.9997410611766085,0.9998577745949149,0.9999307709729623,0.9663972997977537
10,0.9679571193137954,0.9653546755102984,0.9622880576698593,0.9774990223415836,0.9989094968763396,0.9994023911896477,0.999722894447252,0.9646937239184408
11,0.9673308859246216,0.964413823705962,0.9581926916627371,0.9506769324318476,0.9978418577378775,0.9991361989431056,0.999722604159671,0.9625819427212077
12,0.9666986360025801,0.963448586169523,0.9564816643102586,0.9610618558502922,0.9994406409555568,0.9997723713439244,0.9999305798980207,0.9599099762905244
13,0.9660564124173331,0.9624587820118174,0.9546575184151123,0.9518481589241574,0.9977267961001858,0.9990497322923524,0.9997222230455197,0.9566292667903813
14,0.9654025582789686,0.9614434481288822,0.9525918158712282,0.9410804703728722,0.9948437414140672,0.9985142803763639,0.9997221425229158,0.952585248907695
15,0.9647373134364544,0.9604028108268376,0.9505968436996481,0.9401287340885995,0.9987337454889993,0.9996150358956077,0.99993042360499,0.9475671580023812
16,0.9640596146087494,0.9593354217030512,0.9485456752152762,0.9357093509908111,0.9950905231189147,0.9984183567998098,0.9997221994883538,0.9413715360514752
17,0.963369627747959,0.9582410549830918,0.9464012341165056,0.9304790025797947,0.9873850706463203,0.9973465672769072,0.9997223008066787,0.9336809504880661
18,0.9626673403878145,0.9571193780564896,0.9441825586766219,0.9269068090022039,0.9970761965066308,0.9993277694808258,0.9999303636438373,0.9240963203377001
19,0.9619522535034601,0.955969505556857,0.9418830295937863,0.9227504692035188,0.9892597766455216,0.9972975354354486,0.9997225045900304,0.9121215672202169
20,0.9612243619199037,0.954791024903712,0.9394968548295344,0.9181944523665478,0.9691689605174871,0.9951614495458723,0.9997225767179039,0.8971182441932247
21,0.960483305808517,0.9535831630766076,0.9370224542806934,0.9137369372929732,0.993204589506802,0.9988039969254532,0.9999302948716583,0.8782870068814188
22,0.9597284936436075,0.9523448139276798,0.9344567170004346,0.909034047322641,0.9765481399755082,0.9953151352743996,0.9997223007523639,0.8546441280911495
23,0.958960677114676,0.9510764933674332,0.9317982895514418,0.9040681373696828,0.9268953872295239,0.9910859370929421,0.9997220511354898,0.8250255807904717
24,0.958179034420905,0.9497769819422146,0.9290441639032105,0.8989265784263355,0.984254335134305,0.9978496242432355,0.9999301018724591,0.7881124967714928
25,0.9573831927496433,0.9484453277469828,0.9261912961559602,0.8935560352405604,0.9497026395094438,0.9918215222722856,0.9997213535682015,0.7427586141784996
26,0.9565736159822924,0.9470817040481323,0.923238158344281,0.887943208754566,0.8396012663993792,0.9835385553024435,0.9997209169650207,0.688190966529199
27,0.9557496988055983,0.9456851167704629,0.9201820051858818,0.8820992166225196,0.9640720863787635,0.996115043881804,0.9999298853914579,0.6244028586444658
28,0.9549113994511456,0.9442551340503618,0.9170207843989899,0.8760143171614856,0.8966215668257751,0.9857000404098144,0.9997200098086905,0.5528465514770319
29,0.954058406619887,0.9427909804831845,0.913751915694119,0.8696819243002876,0.694299577769964,0.9697366258269523,0.999719585437658,0.4762875227425197
30,0.9531906177702887,0.9412921101031337,0.9103730616447596,0.8631011713366388,0.9209783384675096,0.9929711296696796,0.9999297096982666,0.39835940012821824
31,0.9523072555132565,0.939757218453205,0.9068811256203534,0.8562677594730279,0.8036837767914214,0.9750753887253333,0.999718832478325,0.3231926358979744
32,0.9514085401852684,0.9381861099302939,0.9032743613992363,0.8491796117533135,0.5148441163113519,0.9451026857759782,0.999718553399309,0.25411798101295485
33,0.9504940506895017,0.9365779181194083,0.8995503072158582,0.8418353676416813,0.8385195853769296,0.9873043469816426,0.999929556772711,0.19310996874196898
34,0.9495636087117036,0.9349319989945986,0.8957067916716189,0.8342341296876681,0.6690115351585739,0.9569597867464932,0.9997182012096014,0.1413511832229258
35,0.9486173353944508,0.9332481910843252,0.8917426192362256,0.8263771530604714,0.34931458141260313,0.9030413048714577,0.9997181737544583,0.0987970679172329
36,0.9476545746633698,0.9315253783216909,0.8876554727896073,0.8182652800525566,0.7076398477298331,0.9771942006875678,0.9999294772169735,0.06448003288062533
37,0.9466753850019611,0.9297631394990301,0.8834436457751488,0.8099002231032507,0.5141390192021069,0.9270000680284926,0.9997182034571347,0.038018661154494246
38,0.9456791859944592,0.9279604278015443,0.8791050288072663,0.801284403472125,0.22481131548605313,0.8363967101990617,0.9997182794376912,0.018536238274382083
39,0.9446661844679531,0.9261170263371159,0.8746383989679681,0.7924215860966635,0.5458970552918224,0.9594903056882079,0.9999293880389709,0.004260030970832874
40,0.9436360745496094,0.9242324517159257,0.8700431500541929,0.7833180151556643,0.3705247820566118,0.87987760662501,0.9997185325989784,0.0004787389743398063
41,0.9425883424172704,0.9223055361708482,0.8653170623725351,0.7739778242039572,0.14088664102230777,0.741918531327696,0.9997186335253655,0.00031233070422246527
42,0.9415231189873594,0.9203360807774378,0.8604596657533292,0.7644085001635952,0.39014456516084617,0.9294742775938258,0.999929335222296,0.00031625182271699417
43,0.9404400425812462,0.9183233976355305,0.8554702171846326,0.75461802308324,0.2564303257387033,0.8111107681775399,0.9997187309815515,0.000316565350067646
44,0.9393383652210099,0.9162660597301814,0.8503466013134562,0.7446127184529431,0.08711399854977214,0.6257027857514883,0.9997186369920462,0.00031719585518219593
45,0.938218392099166,0.914164118311911,0.8450892726278232,0.7344033106158955,0.26558244089727606,0.8812047730734929,0.9999292342708744,0.00031780746706510423
46,0.9370801779649164,0.9120173146601135,0.8396981946579203,0.7239998900566502,0.17365314799030773,0.7203802541052935,0.9997184049665323,0.00031799648773159266
47,0.935923124833872,0.9098247415245426,0.8341731992690952,0.7134136466375934,0.05343111512011655,0.5026925235473649,0.9997182511867717,0.0003187148587476508
48,0.9347469640404066,0.9075856231574514,0.8285139973177557,0.7026557018972394,0.17622988623877356,0.8095550269376738,0.9999292158151681,0.00032063962837709196
49,0.933551421267209,0.9052994090157614,0.8227212474902296,0.691739163464453,0.11633062132724868,0.6140461453916026,0.9997179644368046,0.00032238839155037535
50,0.9323359062233103,0.9029649349284851,0.8167945164443123,0.6806757967504223,0.03256627110846642,0.3885867956287371,0.9997177816435366,0.0003236202933241375
51,0.9311009507866691,0.9005827249284254,0.810736375412469,0.669481510870091,0.11554036410811264,0.7141563566287346,0.9999292513172803,0.0003234846096547746
52,0.929845708725268,0.8981513759243749,0.8045464386303816,0.6581681882538194,0.07752442366198327,0.503532845620172,0.9997174507711943,0.00032313741867698016
53,0.9285706229954047,0.8956712460564622,0.7982273539597017,0.6467518561359586,0.019727042591475022,0.2925589689805721,0.9997172871010528,0.00032416496404698856
54,0.9272750193932466,0.8931413280936658,0.7917801521919484,0.635246542831042,0.07533138429304184,0.602448426184856,0.9999292531323918,0.0003254069607911871
55,0.9259583839894141,0.8905606753038252,0.7852060786554562,0.6236665980380663,0.05152033787285224,0.40010150823896234,0.9997171134938062,0.00032762745560780196
56,0.9246211617010537,0.8879295298306227,0.7785078528590164,0.6120273819780142,0.011869362928435594,0.21665681557135957,0.9997171218262461,0.00032970458998521314
57,0.9232624995005093,0.8852469541997418,0.7716879645937205,0.6003448987638929,0.04898838569775623,0.4875255426948922,0.9999292793466925,0.00033089571219961986
58,0.9218825131097486,0.882512751833974,0.7647489817755182,0.5886335316156267,0.0341901217659239,0.31076170442406037,0.9997175994192691,0.00033267438479042563
59,0.9204809558084716,0.8797265311347878,0.7576939253939193,0.5769084421326821,0.007080496231147203,0.1588273719816068,0.9997179282828242,0.00033315668505216087
60,0.9190577308473541,0.8768880178742555,0.7505260184759895,0.5651842673253762,0.03181184858383244,0.38173993698646025,0.9999294213550606,0.0003336422743754809
61,0.9176122408449561,0.8739963788586146,0.7432480861962099,0.5534747023244305,0.022660864180878697,0.23773295431477026,0.9997188563855545,0.0003331638265030173
62,0.9161445047659585,0.8710516354292367,0.7358644631968825,0.5417947539826907,0.0041905261384911,0.11567746834291533,0.9997193136191568,0.0003344359412036512
63,0.9146539134881347,0.8680527837219469,0.7283777212098383,0.530156311425544,0.02064732846664502,0.2921169147173969,0.9999295981834568,0.00033750363073389237
64,0.913140614901319,0.8650001057556762,0.7207928628266057,0.5185733756408799,0.015014724891754023,0.18013536715595643,0.999720189015683,0.0003383493029460899
65,0.9116042225634267,0.8618931008707514,0.7131138826236576,0.5070582587824033,0.002442605577355939,0.08385323805667683,0.9997205319338794,0.0003409394642307161
66,0.9100446661363074,0.8587316679086008,0.7053451946425616,0.4956223835877075,0.013388589172977262,0.22027949227036697,0.9999297660892084,0.0003434771072656806
67,0.908461949795713,0.8555159239838154,0.6974921310096522,0.48427814602439156,0.009939594522060282,0.13568977944548413,0.9997210981082307,0.0003440558195715772
68,0.9068548191792597,0.852244362665964,0.689557882521652,0.4730345537252903,0.0014043759431724076,0.06058087865537042,0.9997212094292853,0.0003436957794356436
69,0.9052244280704594,0.8489185601221231,0.6815499267394205,0.4619047858213821,0.008682832953247396,0.16465902117728007,0.9999299088715272,0.0003455344138742539
70,0.9035697017958323,0.8455372476955997,0.6734713209220532,0.4508949909869333,0.006579663158668524,0.10185721863724187,0.9997213241780886,0.0003483737586133321
71,0.9018905063978694,0.8421005666135618,0.6653281013162606,0.4400150375380328,0.0007873139479398645,0.04366421651326902,0.9997212602663391,0.0003503132194069648
72,0.9001867017315475,0.8386082726186551,0.6571248258325006,0.4292715975586231,0.005625142166235485,0.12245728193496119,0.9999300461430737,0.0003536474107111892
73,0.8984584103127535,0.8350610879785209,0.6488686268083445,0.4186743648251936,0.0043491175767790225,0.07630716840342386,0.9997210741296049,0.000357866785308081
