t,$10^{-2.0}$,$10^{-2.4}$,$10^{-2.8}$,$10^{-3.2}$,$10^{-3.6}$,$10^{-4.0}$
0,0.9999029786115915,0.9999029786115915,0.9999029786115915,0.9999029786115915,0.9999029786115915,0.9999029786115915
1,0.999581381836873,0.9995977623850218,0.9996073123722455,0.999611403458423,0.9996121924215461,0.9996126816293893
2,0.9994804750788575,0.9995259211652883,0.9995473115176005,0.9995582211917993,0.9995612048762762,0.9995623954003456
3,0.9998543387722882,0.9998697024006025,0.9998778938892988,0.9998821487763383,0.9998832815875801,0.9998837323882861
4,0.99939989363454,0.9994417807916515,0.9994804304989124,0.9995049051341318,0.9995097009169571,0.9995115773850995
5,0.9991802610081344,0.9992084936001798,0.9992637249296112,0.9993027569245773,0.99930936069618,0.9993117968057348
6,0.9997710927732023,0.9997803640687417,0.9997970285619256,0.9998097388030648,0.9998117289723316,0.9998124264911081
7,0.9989736938791668,0.9990323134934991,0.9991143473272057,0.9991824914485268,0.9991931470415761,0.9991972789363303
8,0.9981813598208394,0.9983183136740217,0.9984704024093762,0.9986066680258237,0.9986289979424708,0.9986379409646482
9,0.9994962365415347,0.9995374740606536,0.9995811938172662,0.9996230772827138,0.9996302248981446,0.9996331069362625
10,0.997879410047413,0.9980392077057901,0.9982183666282026,0.9984090137525311,0.9984405850621987,0.9984539714157983
11,0.9959074533432678,0.996127946748197,0.9964634982773343,0.9968505903241999,0.9969132079220706,0.9969406187135108
12,0.9989338700094229,0.9989866710172123,0.9990764694740604,0.9991831011149361,0.9992003226357333,0.9992079399265199
13,0.9956402885709674,0.9958238908421699,0.9962099914244974,0.9966698683028203,0.9967470413452681,0.9967803986423562
14,0.9901472779049312,0.9904676559364978,0.9913677218601756,0.992435428243541,0.9926212288178867,0.9926996031576156
15,0.9975387780378617,0.997612956913527,0.9978573651735819,0.9981361700440061,0.9981858387529052,0.9982065758415808
16,0.9905635914754327,0.9907146022105155,0.9916754912725946,0.992773516214718,0.9929713481056457,0.9930528684706407
17,0.9764415907880548,0.9765044064168389,0.9787666988442901,0.9815127618866426,0.9820058109769241,0.9822078655972956
18,0.9944000185761999,0.9944283418795602,0.9950103613373001,0.9956891941136148,0.9958110785487584,0.9958609572416034
19,0.9795331958596991,0.9795944276651555,0.9817096421990813,0.9842110110578173,0.9846633133376135,0.984851142568946
20,0.9432341036731128,0.9431881356772455,0.9484706316894447,0.9552167884793794,0.9564566355760372,0.9569663365378521
21,0.9867308464451059,0.986883979615111,0.9882992882068977,0.9899650402348572,0.9902704054262759,0.9903976495076646
22,0.9549332539043438,0.9554502964754426,0.9601660353278193,0.9656953342370166,0.9667345563381325,0.9671664775944152
23,0.8701154186137918,0.8704499425929507,0.8819133700580186,0.8964655491481472,0.8992635459107283,0.9004202207785696
24,0.9691811636791693,0.9695621977081337,0.9729648248963346,0.9768216572142523,0.9775625623134486,0.9778674917768452
25,0.9056759670848294,0.9066619153293206,0.9163872258805199,0.9275646539402354,0.9297767872908773,0.9306884536129328
26,0.7409842933195592,0.740494326111574,0.7594217850211239,0.7843081748741383,0.7893849026602864,0.7914958048324945
27,0.9304305943660423,0.9315609740033963,0.9392179481025499,0.9476969530634098,0.9493985346360878,0.9500967104736436
28,0.8164151247234123,0.8187051917964082,0.8360521725909791,0.8559130879031535,0.8600363287772804,0.8617358312532861
29,0.5658578068333925,0.5648843033166903,0.5878850679765057,0.6190765056280975,0.6257148935085353,0.6285223486744654
30,0.8548221546704757,0.8567910835020067,0.8716082155916277,0.8881225924372715,0.8915290571438529,0.8929369782502611
31,0.6850227079432472,0.6877855938352009,0.7122151628543619,0.7409329485451687,0.7471165767596576,0.7496937424737569
32,0.39387502612716674,0.39231698742862275,0.41193582255739924,0.44040996029083124,0.4466236206645162,0.4492956355540687
33,0.7306200566305848,0.733116175051772,0.7562406282886461,0.7826537751297864,0.7882730192221421,0.7906255838415969
34,0.5311246118594145,0.5328179094168681,0.5597109824482539,0.5922563409081775,0.5994860656033814,0.6025352965709183
35,0.2607944405393353,0.2559668387074849,0.2701193512418236,0.29128819921150395,0.2959212044805006,0.2979457974570809
36,0.5725287846410905,0.5736478160116426,0.600874566562937,0.6332235850991734,0.640328072500582,0.6433310576993607
37,0.3854503644611797,0.38634189418088116,0.4100603103108565,0.43961175754486503,0.4463582818889053,0.4492037745084104
38,0.16376710596338087,0.16205536151677583,0.17117576657368788,0.185247202213844,0.1882692119544257,0.18961443575288178
39,0.4147292282486771,0.4142374400819166,0.4392204578823538,0.4698133038211025,0.4767274555163856,0.47967254299761813
40,0.269605990714247,0.2685263376407311,0.28665495587253975,0.3096867755651338,0.3150448667568618,0.3173170482557882
41,0.10580257415136048,0.1011394161519742,0.10665884428686416,0.11552301449031005,0.11741135027615567,0.11825167410449701
